city_name,city_id,latitude,longitude
Mont Saint Michel,1,48.6359541,-1.5114600
St Malo,2,48.6495180,-2.0260409
Bayeux,3,49.2764624,-0.7024738
Le Havre,4,49.4938975,0.1079732
Rouen,5,49.4404591,1.0939658
Paris,6,48.8534951,2.3483915
Amiens,7,49.8941708,2.2956951
Lille,8,50.6365654,3.0635282
Strasbourg,9,48.5846140,7.7507127
Chateau du Haut Koenigsbourg,10,48.2494107,7.3443202
Colmar,11,48.0777517,7.3579641
Eguisheim,12,48.0447968,7.3079618
Besancon,13,47.2380222,6.0243622
Dijon,14,47.3215806,5.0414701
Annecy,15,45.8992348,6.1288847
Grenoble,16,45.1875602,5.7357819
Lyon,17,45.7578137,4.8320114
Gorges du Verdon,18,43.7496562,6.3285616
Bormes les Mimosas,19,43.1506968,6.3419285
Cassis,20,43.2140359,5.5396318
Marseille,21,43.2961743,5.3699525
Aix en Provence,22,43.5298424,5.4474738
Avignon,23,43.9492493,4.8059012
Uzes,24,44.0121279,4.4196718
Nimes,25,43.8374249,4.3600687
Aigues Mortes,26,43.5661521,4.1915400
Saintes Maries de la mer,27,43.4515922,4.4277202
Collioure,28,42.5250500,3.0831554
Carcassonne,29,43.2130358,2.3491069
Ariege,30,42.9455368,1.4065544
Toulouse,31,43.6044622,1.4442469
Montauban,32,44.0175835,1.3549991
Biarritz,33,43.4711437,-1.5527266
Bayonne,34,43.4945144,-1.4736657
La Rochelle,35,46.1597320,-1.1515951
